axiom_name,file,label,decider,source_id,section,clause_text
scenario-b-registered,scenario,SCENARIO_FACT,party-stipulation,n/a,n/a,Stipulated removal scenario (shared by both party models): citizen-b is on the official list of eligible voters
scenario-b-verified-noncitizen-information,scenario,SCENARIO_FACT,party-stipulation,n/a,n/a,Stipulated removal scenario (shared by both party models): the State holds (erroneous) verified information that citizen-b is not a citizen
scenario-b-no-notice,scenario,SCENARIO_FACT,party-stipulation,n/a,n/a,Stipulated removal scenario (shared by both party models): citizen-b received no notice before removal
scenario-b-no-hearing,scenario,SCENARIO_FACT,party-stipulation,n/a,n/a,Stipulated removal scenario (shared by both party models): citizen-b had no opportunity to contest removal
challenger-removal-without-process-is-violation,challenger,INTERPRETATION_CHALLENGER,court,mathews-v-eldridge,424 U.S. at 333-335,"right to be heard before being condemned to suffer grievous loss of any kind, even though it may not involve the stigma and hardships of a criminal conviction -- interpretation: removal from the rolls without notice or hearing violates due process"
challenger-bridge-removal-invalid,challenger,BRIDGE_RULE,court,const-amend5,Amend. V,"nor be deprived of life, liberty, or property, without due process of law"
government-removal-defense-rule,government,INTERPRETATION_GOVERNMENT,court,husted-v-randolph,584 U.S. at 767-770,NVRA list-maintenance procedure upheld — interpretation: removal on verified information is a valid evenhanded list-maintenance rule
government-bridge-removal-validates,government,BRIDGE_RULE,court,crawford-v-marion,553 U.S. at 189-191,advanced by the State are therefore sufficient to defeat petitioners' facial challenge to SEA 483 -- interpretation: a removal procedure satisfying the applicable standard is constitutionally valid
government-removal-procedure-evenhanded,government,INTERPRETATION_GOVERNMENT,court,hr22-eh,§ 2(f) / NVRA § 8(k),"""upon receipt of documentation or verified information"" — interpretation: the trigger applies evenhandedly to every registrant"
text-photo-id-required-for-regular-ballot,voting_text_rules,PROHIBITION,legislature,s1383-eah,§ 3 / HAVA § 303A(a)(1)(A),the appropriate State or local election official may not provide a ballot for an election for Federal office to an individual who desires to vote in person unless the individual presents to the official a valid physical photo identification
scenario-c-person,scenario,SCENARIO_FACT,party-stipulation,n/a,n/a,Stipulated voting scenario (shared by both party models): citizen-c is a person
scenario-c-citizen,scenario,SCENARIO_FACT,party-stipulation,n/a,n/a,Stipulated voting scenario (shared by both party models): citizen-c is a U.S. citizen
scenario-c-eligible,scenario,SCENARIO_FACT,party-stipulation,n/a,n/a,Stipulated voting scenario (shared by both party models): citizen-c is eligible to vote
scenario-c-registered,scenario,SCENARIO_FACT,party-stipulation,n/a,n/a,Stipulated voting scenario (shared by both party models): citizen-c is on the official list of eligible voters
scenario-c-ballot,scenario,SCENARIO_FACT,party-stipulation,n/a,n/a,Stipulated voting scenario (shared by both party models): ballot-c is a ballot in a federal election
scenario-c-votes-in-person,scenario,SCENARIO_FACT,party-stipulation,n/a,n/a,Stipulated voting scenario (shared by both party models): citizen-c seeks to vote in person with ballot-c
scenario-c-no-valid-photo-id,scenario,SCENARIO_FACT,party-stipulation,n/a,n/a,Stipulated voting scenario (shared by both party models): citizen-c presents no document in the § 303A(c) list
scenario-c-no-cure,scenario,SCENARIO_FACT,party-stipulation,n/a,n/a,Stipulated voting scenario (shared by both party models): citizen-c does not cure the provisional ballot within 3 days
challenger-uncounted-ballot-is-severe-burden,challenger,INTERPRETATION_CHALLENGER,court,crawford-v-marion,553 U.S. at 199-203 (Stevens plurality),"a somewhat heavier burden may be placed on a limited number of persons. They include elderly persons born out of State, who may have difficulty obtaining a birth certificate ... the new identification requirement may have imposed a special burden on their right to vote -- interpretation: an uncounted ballot of a registered citizen who cannot obtain identification without material burden is a severe burden"
challenger-bridge-voting-invalid,challenger,BRIDGE_RULE,court,anderson-v-celebrezze,460 U.S. at 789,It must first consider the character and magnitude of the asserted injury to the rights protected by the First and Fourteenth Amendments that the plaintiff seeks to vindicate. It then must identify and evaluate the precise interests put forward by the State as justifications for the burden imposed by its rule -- interpretation: severe as-applied burden without sufficient justification is invalid as applied
challenger-scenario-c-material-burden,challenger,EMPIRICAL_ASSUMPTION,fact-finder,crawford-v-marion,553 U.S. at 199 (Stevens plurality),persons who because of economic or other personal limitations may find it difficult either to secure a copy of their birth certificate or to assemble the other required documentation to obtain a state-issued identification [empirical: applied to obtaining an expiring photo identification]
government-voting-defense-rule,government,INTERPRETATION_GOVERNMENT,court,crawford-v-marion,553 U.S. at 189-204,"The application of the statute to the vast majority of Indiana voters is amply justified by the valid interest in protecting -- interpretation: a photo-identification requirement is a reasonable, evenhanded regulation justified by the interest in election integrity"
government-bridge-voting-validates,government,BRIDGE_RULE,court,crawford-v-marion,553 U.S. at 189-191,advanced by the State are therefore sufficient to defeat petitioners' facial challenge to SEA 483 -- interpretation: a regulation satisfying the applicable standard is valid for every ballot
government-photo-id-evenhanded,government,INTERPRETATION_GOVERNMENT,court,s1383-eah,§ 3 / HAVA § 303A(a)(1),"""may not provide a ballot ... to an individual who desires to vote in person unless"" — interpretation: the requirement applies to every in-person voter alike"
government-provisional-cure-adequate,government,INTERPRETATION_GOVERNMENT,court,s1383-eah,§ 3 / HAVA § 303A(a)(1)(B),"""shall be permitted to cast a provisional ballot ... not later than 3 days after casting the provisional ballot"" — interpretation: the cure window is an adequate safeguard"
scenario-d-person,scenario,SCENARIO_FACT,party-stipulation,n/a,n/a,Stipulated voting scenario D (cure path): citizen-d is a person
scenario-d-citizen,scenario,SCENARIO_FACT,party-stipulation,n/a,n/a,Stipulated voting scenario D (cure path): citizen-d is a U.S. citizen
scenario-d-eligible,scenario,SCENARIO_FACT,party-stipulation,n/a,n/a,Stipulated voting scenario D (cure path): citizen-d is eligible to vote
scenario-d-registered,scenario,SCENARIO_FACT,party-stipulation,n/a,n/a,Stipulated voting scenario D (cure path): citizen-d is on the official list of eligible voters
scenario-d-ballot,scenario,SCENARIO_FACT,party-stipulation,n/a,n/a,Stipulated voting scenario D (cure path): ballot-d is a ballot in a federal election
scenario-d-votes-in-person,scenario,SCENARIO_FACT,party-stipulation,n/a,n/a,Stipulated voting scenario D (cure path): citizen-d seeks to vote in person with ballot-d
scenario-d-no-valid-photo-id,scenario,SCENARIO_FACT,party-stipulation,n/a,n/a,Stipulated voting scenario D (cure path): citizen-d presents an expired licence — nothing in the § 303A(c) list
scenario-d-cures,scenario,SCENARIO_FACT,party-stipulation,n/a,n/a,Stipulated voting scenario D (cure path): citizen-d returns within 3 days with valid identification
challenger-document-cost-is-poll-tax,challenger,INTERPRETATION_CHALLENGER,court,harper-v-virginia,383 U.S. at 666,a State violates the Equal Protection Clause of the Fourteenth Amendment whenever it makes the affluence of the voter or payment of any fee an electoral standard -- interpretation: a document cost with no free alternative makes payment of a fee an electoral standard
challenger-bridge-poll-tax-invalid,challenger,BRIDGE_RULE,court,const-amend24,Amend. XXIV § 1,The right of citizens of the United States to vote ... shall not be denied or abridged by the United States or any State by reason of failure to pay any poll tax or other tax.
challenger-scenario-document-cost,challenger,EMPIRICAL_ASSUMPTION,fact-finder,crawford-v-marion,553 U.S. at 199 (plurality),persons who because of economic or other personal limitations may find it difficult either to secure a copy of their birth certificate or to assemble the other required documentation to obtain a state-issued identification
challenger-scenario-no-fee-waiver,challenger,INTERPRETATION_CHALLENGER,court,hr22-eh,§ 2(a) / NVRA § 3(b),"the term 'documentary proof of United States citizenship' means, with respect to an applicant for voter registration, any of the following -- interpretation: the Act lists documents but provides no free document or fee waiver"
government-fee-waiver-available,government,INTERPRETATION_GOVERNMENT,court,crawford-v-marion,553 U.S. at 198,"the State offers free photo identification to qualified voters able to establish their residence and identity -- interpretation: States provide the qualifying documents without charge, so no fee is an electoral standard"
